Sorteo,numero 1,numero 2,numero 3,numero 4,numero 5
1,32,16,29,41,36
2,13,50,47,7,39
3,37,19,18,14,31
4,39,37,4,7,33
5,44,47,15,28,24
6,42,45,33,37,36
7,23,43,3,4,10
8,4,24,12,36,27
9,23,19,10,1,4
10,28,40,14,15,35
11,45,21,6,49,10
12,27,16,6,5,23
13,38,36,15,16,21
14,32,3,1,39,21
15,37,39,29,15,49
16,41,44,6,35,11
17,41,42,34,13,9
18,7,2,47,10,8
19,28,2,40,23,43
20,30,21,35,3,34
21,4,28,24,23,34
22,44,19,5,12,2
23,26,50,31,24,38
24,10,27,7,34,31
25,50,10,9,19,37
26,5,35,44,15,24
27,27,20,41,43,50
28,27,10,35,9,6
29,28,1,44,22,11
30,14,12,15,34,8
31,5,38,36,25,33
32,41,39,15,18,29
33,48,21,26,27,44
34,48,20,45,21,12
35,12,10,48,1,16
36,37,21,14,43,22
37,9,25,1,40,23
38,32,1,38,35,8
39,25,42,49,19,6
40,12,13,4,32,11
41,37,29,34,18,1
42,24,1,34,4,36
43,15,42,11,1,49
44,3,13,43,1,16
45,49,22,19,15,46
46,3,27,29,4,37
47,8,7,47,25,24
48,50,27,47,3,23
49,11,14,29,6,19
50,12,14,10,26,24
51,26,21,7,43,45
52,11,1,40,30,8
53,11,13,25,32,50
54,32,46,20,21,26
55,43,3,27,44,30
56,12,32,37,39,24
57,40,12,43,23,8
58,48,39,23,6,43
59,29,33,38,4,37
60,26,44,47,25,41
61,31,50,25,11,7
62,6,31,42,38,28
63,13,10,24,47,3
64,42,35,9,3,39
65,44,21,12,7,26
66,12,40,31,17,32
67,28,6,47,7,13
68,50,48,31,2,24
69,8,11,3,17,50
70,37,32,47,7,6
71,8,4,10,21,18
72,6,15,8,14,45
73,23,28,5,4,25
74,42,46,36,35,49
75,42,23,1,11,12
76,49,14,41,3,48
77,50,3,19,49,26
78,21,11,2,22,30
79,37,23,40,15,30
80,41,29,11,24,31
81,29,35,40,41,9
82,43,3,4,50,14
83,31,12,50,19,8
84,19,38,12,13,21
85,1,31,34,26,47
86,11,50,48,6,47
87,26,44,21,13,2
88,10,19,11,23,20
89,19,14,33,1,29
90,14,50,47,44,36
91,38,42,36,37,26
92,41,16,36,42,15
93,34,17,18,48,25
94,27,39,47,6,1
95,1,30,20,9,23
96,11,42,38,35,18
97,2,18,3,15,32
98,31,42,37,36,15
99,19,45,43,8,16
100,6,26,14,9,2
101,12,19,33,34,8
102,15,12,50,33,44
103,9,21,15,40,49
104,30,39,9,21,50
105,5,38,6,48,50
106,4,23,38,24,26
107,18,19,1,47,11
108,5,44,10,8,3
109,1,33,21,45,49
110,50,44,5,45,32
111,17,47,28,33,35
112,50,3,45,20,31
113,13,12,29,50,44
114,34,35,26,16,49
115,46,1,22,20,37
116,17,5,33,22,10
117,8,50,16,4,14
118,23,5,20,34,50
119,49,34,25,3,5
120,21,41,12,2,49
121,41,7,48,27,8
122,3,34,39,15,12
123,26,36,1,16,30
124,44,30,9,21,43
125,16,6,15,40,43
126,35,9,7,43,18
127,1,31,7,17,36
128,50,4,38,2,9
129,3,43,29,8,12
130,26,15,32,14,1
131,47,31,46,28,27
132,37,40,50,12,39
133,47,10,28,48,40
134,25,50,7,45,3
135,12,10,32,33,1
136,10,49,26,6,16
137,30,45,49,29,10
138,1,3,24,6,18
139,5,35,11,22,38
140,2,32,38,41,25
141,10,34,47,19,45
142,3,50,44,4,8
143,13,11,44,24,49
144,36,30,14,27,21
145,36,12,33,22,32
146,8,5,40,25,17
147,16,37,8,41,4
148,47,36,17,16,18
149,35,37,9,42,23
150,20,11,43,9,38
151,14,9,6,13,35
152,17,45,36,29,19
153,14,8,25,19,11
154,27,5,13,33,42
155,38,11,23,15,30
156,36,14,27,23,30
157,36,16,46,30,14
158,19,39,20,50,8
159,20,2,22,18,15
160,3,16,48,34,38
161,43,25,3,2,48
162,45,4,31,49,14
163,43,17,5,40,13
164,19,9,46,17,41
165,41,48,29,23,15
166,20,41,38,7,25
167,41,26,32,45,23
168,44,18,7,36,27
169,17,41,35,6,45
170,12,26,49,7,29
171,49,37,34,26,39
172,49,26,50,29,25
173,22,41,42,37,6
174,15,17,25,45,1
175,5,14,40,7,21
176,22,17,16,11,34
177,28,8,33,45,12
178,39,41,4,19,5
179,13,9,31,15,48
180,50,26,10,21,25
181,4,29,21,1,41
182,41,33,37,30,10
183,40,43,49,42,23
184,2,13,42,3,38
185,16,3,42,1,48
186,22,37,23,18,6
187,42,3,34,2,33
188,33,29,5,9,11
189,35,37,17,1,32
190,22,34,44,30,35
191,20,27,35,44,11
192,36,47,21,32,46
193,7,18,34,35,40
194,20,7,38,40,43
195,40,16,3,19,18
196,14,25,36,5,22
197,23,18,33,37,9
198,22,2,48,29,10
199,38,20,12,19,30
200,48,43,4,2,32
201,8,30,36,25,44
202,37,7,44,28,9
203,45,31,20,22,21
204,41,24,10,12,25
205,24,36,50,8,49
206,46,40,16,14,23
207,2,19,9,45,6
208,30,49,45,47,22
209,17,38,28,44,30
210,27,45,12,29,46
211,46,50,4,27,32
212,37,47,49,40,12
213,14,17,7,35,2
214,13,48,35,21,25
215,10,2,22,18,36
216,39,9,29,5,17
217,18,37,47,13,11
218,50,30,25,45,6
219,27,6,7,50,3
220,4,30,26,19,27
221,26,48,45,37,2
222,8,9,42,40,45
223,6,38,9,25,15
224,5,38,9,19,21
225,14,20,49,7,5
226,21,40,19,50,7
227,16,37,44,50,13
228,11,8,36,37,45
229,20,44,5,50,26
230,19,22,48,7,27
231,37,19,11,13,9
232,16,14,44,10,29
233,29,7,15,24,11
234,25,40,22,50,1
235,15,5,16,45,4
236,18,11,17,26,31
237,50,27,29,39,7
238,2,20,37,25,39
239,17,12,39,16,7
240,23,33,37,19,50
241,14,16,19,31,20
242,31,29,33,14,37
243,4,38,13,19,23
244,15,31,22,4,41
245,50,12,10,3,42
246,45,7,15,16,17
247,34,25,3,41,18
248,9,1,17,12,18
249,14,26,10,8,21
250,50,49,21,9,14
251,8,25,11,41,16
252,35,8,21,45,4
253,2,19,42,28,49
254,29,50,46,28,40
255,44,26,2,1,50
256,48,30,29,37,36
257,22,7,15,28,48
258,50,22,17,3,49
259,36,49,33,40,32
260,4,34,35,46,29
261,36,30,20,40,10
262,33,36,40,22,42
263,13,48,9,12,14
264,9,44,5,37,45
265,13,35,25,17,19
266,36,42,26,12,24
267,31,12,35,23,16
268,25,42,36,33,38
269,46,24,32,20,2
270,37,14,9,46,16
271,7,4,21,44,47
272,21,4,24,14,41
273,38,47,31,19,5
274,4,29,23,31,24
275,19,8,42,18,20
276,43,4,14,33,13
277,30,47,2,37,5
278,35,19,40,26,11
279,50,14,6,16,34
280,20,17,16,4,29
281,21,6,11,39,30
282,29,47,46,34,21
283,42,20,6,16,46
284,17,50,8,2,32
285,15,47,35,25,14
286,26,9,20,21,5
287,22,10,31,24,20
288,30,5,8,49,24
289,16,42,31,7,4
290,37,41,49,36,8
291,20,39,6,9,38
292,42,15,12,35,43
293,30,16,41,38,6
294,6,21,18,17,34
295,44,29,24,23,22
296,29,11,46,7,50
297,23,30,31,47,12
298,20,6,18,29,31
299,35,9,33,38,40
300,19,43,45,34,11
301,15,25,32,26,13
